grade	q1fd	q2fd	q3fd	q1fc	q2fc	q3fc	q1vc	q2vc	q3vc
1	56.72	78.49	49.88	185	255	162	56	83	72
0	120.45	77.44	166.23	374	260	533	101	73	196
0	62.09	57.7	75.33	185	172	224	50	43	76
0	42.3	46.77	49.08	124	137	151	31	52	69
0	154.16	52.9	69.47	539	198	258	138	57	84
1	29.27	37.82	30.7	118	158	126	43	50	44
1	40.14	68.31	41.6	141	230	144	33	51	45
0	37	37.45	48.97	121	133	160	63	70	76
0	39.3	100.8	72.65	149	371	288	47	96	83
1	49.49	42.95	30.93	197	160	114	69	51	44
1	52.53	101.96	68.78	191	368	233	39	90	58
1	46.43	74.63	73.97	133	210	217	31	50	59
0	49.13	40.11	54.66	159	128	191	52	31	66
0	85.92	95.25	68.13	291	338	255	62	90	83
0	219.65	34.9	52.7	820	141	204	291	53	68
1	31.85	39.36	31.48	109	139	118	34	40	42
1	89.92	39.28	54.26	279	135	168	91	38	57
1	59.32	86.6	70.8	217	299	246	50	78	73
1	86.55	55.53	87.73	281	201	323	51	57	99
0	94.68	54.21	87.82	356	216	352	62	49	80
1	40.47	49.33	43.89	145	196	173	53	79	77
1	49.52	59.52	38.83	185	225	150	67	95	54
1	75.57	43.04	60.06	207	124	185	55	34	56
1	110.47	89.52	67.14	285	249	197	64	63	64
1	53	53.16	39.61	209	226	157	75	97	68
0	70.81	46.49	34.31	230	162	129	68	69	55
0	39.85	25.72	39.1	151	96	145	49	27	47
1	62.22	55.81	35.44	209	185	116	71	50	47
1	23.04	28.98	24.52	101	120	97	27	28	31
1	67.65	84.58	51.47	232	299	182	62	97	52
1	86.73	67.2	41.9	302	255	150	80	56	54
1	59.6	74.5	36.07	225	271	127	49	83	45
1	68.7	82.59	53.53	227	265	184	72	79	61
0	107.03	64.01	80.15	339	205	246	89	44	80
1	40.39	88.03	76.19	142	339	277	53	153	113
1	37.83	47.53	36.5	159	192	155	34	48	50
0	105.79	56.32	45.41	340	185	167	99	46	47
0	65.42	59.01	57.33	208	194	182	50	42	58
0	49.76	84.21	81.65	206	311	309	58	116	122
1	40.72	43.76	33.66	147	163	129	45	53	48
0	64.56	125.69	98.66	195	395	322	61	122	103
1	20.51	34.8	45.69	88	146	179	44	71	83
1	34.66	48.72	25.19	131	180	88	42	53	42
0	48.51	61.79	78.97	153	194	264	33	47	64
1	47.03	56.88	91.26	156	210	341	50	57	105
1	41.75	73.57	48.41	140	227	166	38	75	64
0	143.96	107.49	70.49	477	381	258	110	95	82
1	69.94	91.06	35.24	235	318	124	47	87	38
1	47.69	82.64	48.51	180	294	189	55	63	74
0	81.56	62.61	41	289	234	156	57	58	42
0	85.76	45.62	58.99	307	182	230	88	46	78
1	83.1	84.58	44.08	232	264	140	88	87	49
0	66.56	51.95	135.19	227	168	441	89	64	187
1	72.31	66.89	108.33	247	236	376	79	63	117
0	39.69	39.64	46.59	119	146	185	63	76	87
1	39.6	38.16	54.37	153	154	199	49	52	65
1	76.94	62.93	74.3	244	206	222	66	60	67
0	101.93	88.79	104.79	390	331	433	124	106	199
1	41.98	40.09	37.07	157	139	127	37	40	43
1	75.93	54.35	54.5	221	173	177	64	55	72
1	67.52	52.37	49.35	248	196	188	67	52	59
0	101.53	112.41	116.1	336	382	380	101	117	140
1	81.62	69.69	46.73	309	246	172	62	68	55
0	48.9	41.7	59.93	183	143	205	37	36	62
0	37.73	32.83	17.3	138	120	66	51	49	24
0	64.33	45.44	44.39	244	175	173	78	60	64
1	38.59	52.76	61.94	148	196	234	40	59	61
0	91.76	58.89	62.67	326	207	217	103	89	108
1	89.31	85.89	68.82	331	334	267	94	76	80
0	80.51	103.21	53.75	242	325	183	71	117	83
1	42.33	62.43	29.52	167	235	112	68	77	50
1	68.32	59.72	67.33	251	199	243	65	71	83
1	83.54	26.42	64.02	259	93	201	82	37	71
0	159.14	124.41	97.17	547	478	372	127	115	123
1	50.32	35.19	41.49	208	130	151	90	43	62
0	64.25	40.5	99.53	196	121	308	57	43	118
1	69.83	71.43	91.23	242	249	313	65	54	96
1	65.73	62.73	66.66	226	216	227	66	74	80
1	54.79	44.4	33.94	198	153	125	76	57	63
0	38.38	57.54	46.17	147	197	169	42	63	55
0	46.73	49.36	30.62	177	186	120	65	71	63
