"grade" "q1fd" "q2fd" "q3fd" "q1fc" "q2fc" "q3fc" "q1vc" "q2vc" "q3vc"
1 56.72 78.49 49.88 185 255 162 56 83 72
1 29.27 37.82 30.7 118 158 126 43 50 44
1 40.14 68.31 41.6 141 230 144 33 51 45
1 49.49 42.95 30.93 197 160 114 69 51 44
1 52.53 101.96 68.78 191 368 233 39 90 58
1 46.43 74.63 73.97 133 210 217 31 50 59
1 31.85 39.36 31.48 109 139 118 34 40 42
1 89.92 39.28 54.26 279 135 168 91 38 57
1 59.32 86.6 70.8 217 299 246 50 78 73
1 86.55 55.53 87.73 281 201 323 51 57 99
1 40.47 49.33 43.89 145 196 173 53 79 77
1 49.52 59.52 38.83 185 225 150 67 95 54
1 75.57 43.04 60.06 207 124 185 55 34 56
1 110.47 89.52 67.14 285 249 197 64 63 64
1 53 53.16 39.61 209 226 157 75 97 68
1 62.22 55.81 35.44 209 185 116 71 50 47
1 23.04 28.98 24.52 101 120 97 27 28 31
1 67.65 84.58 51.47 232 299 182 62 97 52
1 86.73 67.2 41.9 302 255 150 80 56 54
1 59.6 74.5 36.07 225 271 127 49 83 45
1 68.7 82.59 53.53 227 265 184 72 79 61
1 40.39 88.03 76.19 142 339 277 53 153 113
1 37.83 47.53 36.5 159 192 155 34 48 50
1 40.72 43.76 33.66 147 163 129 45 53 48
1 20.51 34.8 45.69 88 146 179 44 71 83
1 34.66 48.72 25.19 131 180 88 42 53 42
1 47.03 56.88 91.26 156 210 341 50 57 105
1 41.75 73.57 48.41 140 227 166 38 75 64
1 69.94 91.06 35.24 235 318 124 47 87 38
1 47.69 82.64 48.51 180 294 189 55 63 74
1 83.1 84.58 44.08 232 264 140 88 87 49
1 72.31 66.89 108.33 247 236 376 79 63 117
1 39.6 38.16 54.37 153 154 199 49 52 65
1 76.94 62.93 74.3 244 206 222 66 60 67
1 41.98 40.09 37.07 157 139 127 37 40 43
1 75.93 54.35 54.5 221 173 177 64 55 72
1 67.52 52.37 49.35 248 196 188 67 52 59
1 81.62 69.69 46.73 309 246 172 62 68 55
1 38.59 52.76 61.94 148 196 234 40 59 61
1 89.31 85.89 68.82 331 334 267 94 76 80
1 42.33 62.43 29.52 167 235 112 68 77 50
1 68.32 59.72 67.33 251 199 243 65 71 83
1 83.54 26.42 64.02 259 93 201 82 37 71
1 50.32 35.19 41.49 208 130 151 90 43 62
1 69.83 71.43 91.23 242 249 313 65 54 96
1 65.73 62.73 66.66 226 216 227 66 74 80
1 54.79 44.4 33.94 198 153 125 76 57 63
